team1_wins,team2_wins,batter_runs,bowler_wicket,runs_extras,toss_decision_encoded
2.0,5.0,4399,8,17,1
58.0,65.0,4190,11,16,1
20.0,17.0,5524,8,21,1
37.0,33.0,2461,9,18,1
38.0,41.0,4816,8,25,1
37.0,3.0,2430,12,13,0
37.0,41.0,4970,9,16,1
26.0,37.0,2262,15,15,1
91.0,8.0,3740,13,19,0
78.0,88.0,5617,8,18,1
70.0,15.0,5432,7,26,0
20.0,0.0,4571,12,26,1
3.0,125.0,5698,11,23,1
78.0,113.0,8574,7,13,1
64.0,73.0,4259,12,11,1
101.0,69.0,5813,11,8,1
23.0,83.0,3579,12,15,1
42.0,141.0,5228,12,25,1
97.0,84.0,5005,11,9,1
8.0,10.0,5302,11,16,0
13.0,40.0,5538,12,10,1
71.0,5.0,7138,9,6,1
3.0,66.0,1390,7,16,0
32.0,27.0,5194,10,18,1
86.0,128.0,3603,11,18,0
37.0,8.0,3736,11,13,1
31.0,24.0,3784,13,10,1
106.0,9.0,6683,10,32,1
6.0,30.0,5526,10,20,0
38.0,38.0,6921,10,11,1
116.0,16.0,5010,13,10,1
30.0,28.0,4094,13,15,1
41.0,42.0,3725,11,22,1
4.0,23.0,2791,12,12,1
125.0,100.0,4369,7,11,1
93.0,20.0,4360,9,8,1
121.0,9.0,5240,8,17,0
36.0,8.0,3794,13,7,0
28.0,142.0,4693,12,24,1
69.0,89.0,4482,5,22,1
9.0,101.0,3853,9,13,1
87.0,110.0,7561,14,29,1
29.0,11.0,4688,8,6,1
24.0,28.0,1597,9,12,1
84.0,108.0,6208,9,16,1
70.0,82.0,4147,10,24,1
8.0,7.0,3789,14,13,0
7.0,13.0,3194,11,21,1
4.0,52.0,5209,11,6,1
2.0,5.0,3601,8,24,0
94.0,112.0,4926,10,10,1
56.0,67.0,4200,11,16,1
61.0,44.0,4227,11,15,1
52.0,60.0,5589,9,18,1
35.0,32.0,4726,16,10,1
2.0,29.0,4231,8,13,0
66.0,61.0,4311,11,14,1
89.0,64.0,3146,10,14,1
20.0,78.0,6545,17,22,1
39.0,41.0,3155,9,9,0
1.0,53.0,2644,13,16,1
10.0,14.0,4603,14,13,1
12.0,6.0,3440,13,17,0
51.0,75.0,4985,8,15,1
7.0,13.0,3964,7,17,0
55.0,52.0,7567,10,14,1
143.0,135.0,3940,12,22,1
8.0,125.0,4841,12,21,1
135.0,20.0,5940,8,17,1
27.0,2.0,6287,4,23,1
38.0,133.0,4125,11,24,0
13.0,50.0,5173,7,19,1
65.0,59.0,5044,7,17,1
87.0,129.0,2495,12,24,0
67.0,88.0,6628,9,18,1
46.0,39.0,6796,4,7,0
22.0,26.0,4292,13,19,1
44.0,55.0,4237,10,15,1
9.0,34.0,4564,7,6,1
0.0,0.0,4215,11,16,0
32.0,42.0,2630,16,18,1
4.0,73.0,6287,7,20,1
49.0,44.0,5333,7,15,1
138.0,103.0,2563,13,21,1
25.0,20.0,5036,11,22,1
16.0,9.0,3180,13,12,1
15.0,11.0,3883,8,24,0
106.0,100.0,3805,12,12,0
80.0,84.0,5207,13,20,1
72.0,10.0,5243,10,8,1
9.0,5.0,3261,13,18,0
33.0,37.0,5503,13,13,1
5.0,110.0,4295,17,17,0
4.0,23.0,3244,10,17,1
5.0,26.0,2845,8,15,0
17.0,17.0,4721,7,21,0
47.0,139.0,5357,10,24,0
42.0,44.0,4835,5,18,0
13.0,10.0,4161,10,11,1
83.0,95.0,3813,11,12,1
4.0,34.0,2930,16,13,1
50.0,90.0,1564,6,5,1
0.0,0.0,4270,16,14,1
52.0,54.0,3260,11,21,1
115.0,83.0,5901,7,12,1
7.0,47.0,2562,15,21,0
65.0,71.0,2661,17,19,1
54.0,55.0,3186,13,30,1
140.0,89.0,3092,15,22,1
12.0,14.0,5525,11,21,0
56.0,59.0,3668,12,16,0
110.0,130.0,4807,10,15,1
0.0,21.0,3828,9,24,0
135.0,140.0,4032,14,11,0
61.0,15.0,5087,12,20,1
135.0,21.0,8883,7,13,1
32.0,38.0,3901,11,12,1
1.0,0.0,4973,10,31,1
54.0,2.0,4253,8,19,1
120.0,1.0,4556,7,10,1
4.0,41.0,4578,11,13,0
38.0,37.0,2956,15,20,1
116.0,63.0,5671,8,9,1
18.0,117.0,4295,11,17,0
24.0,32.0,3490,17,16,1
0.0,0.0,3721,11,13,1
132.0,24.0,3785,13,17,1
58.0,71.0,4731,12,14,0
98.0,65.0,6081,11,14,1
74.0,2.0,3379,14,21,1
89.0,114.0,4588,11,11,1
123.0,109.0,6040,14,18,1
136.0,22.0,4112,9,28,1
33.0,133.0,5442,11,14,1
13.0,47.0,3047,9,11,0
3.0,23.0,5397,8,15,1
107.0,93.0,5803,11,15,1
29.0,27.0,4056,6,15,1
1.0,120.0,5536,8,19,1
30.0,22.0,3995,11,14,0
6.0,13.0,2619,15,19,0
13.0,17.0,7100,5,18,0
56.0,1.0,4508,13,13,1
1.0,91.0,3631,10,15,0
69.0,80.0,4158,13,21,1
19.0,17.0,3808,12,16,1
81.0,101.0,7088,4,15,0
43.0,49.0,3985,12,15,1
84.0,64.0,6018,7,15,1
69.0,60.0,3976,10,18,1
115.0,25.0,3256,12,23,1
21.0,56.0,5082,11,12,0
64.0,64.0,4040,10,11,1
38.0,50.0,2391,12,10,0
53.0,47.0,3231,13,23,1
0.0,0.0,5864,12,36,1
40.0,10.0,3708,9,20,1
152.0,37.0,7523,8,18,1
59.0,56.0,5244,12,18,1
108.0,81.0,3909,11,13,1
117.0,107.0,2814,8,10,1
24.0,19.0,2311,16,24,0
52.0,67.0,4401,8,11,1
12.0,17.0,3560,12,13,1
123.0,106.0,7663,13,37,1
61.0,74.0,3820,10,17,1
10.0,12.0,2624,10,19,0
29.0,37.0,7145,11,18,1
24.0,25.0,3758,10,21,0
81.0,63.0,5618,15,14,1
111.0,14.0,2528,16,9,0
30.0,27.0,5130,12,25,1
5.0,9.0,4114,10,15,0
11.0,14.0,5673,6,19,0
27.0,36.0,7121,4,18,0
85.0,81.0,3941,9,19,1
43.0,47.0,3391,15,16,0
78.0,14.0,4768,9,11,0
76.0,68.0,3586,7,8,0
90.0,96.0,4586,12,11,1
9.0,28.0,2647,10,8,1
48.0,67.0,3668,11,13,0
37.0,2.0,4383,9,20,0
99.0,132.0,6553,11,35,0
23.0,23.0,2890,12,21,0
2.0,2.0,2062,7,11,0
72.0,79.0,4700,12,13,1
20.0,25.0,4375,11,18,0
19.0,100.0,4647,11,15,1
18.0,24.0,3070,12,8,0
29.0,49.0,4709,8,5,1
19.0,20.0,2376,11,7,0
49.0,60.0,2292,11,23,1
125.0,118.0,3437,14,13,1
50.0,86.0,3117,13,8,1
66.0,56.0,5352,7,17,0
10.0,13.0,3758,11,14,0
12.0,15.0,4864,16,19,1
63.0,69.0,4315,11,27,1
29.0,5.0,1488,11,12,1
27.0,3.0,2702,8,25,1
112.0,36.0,6036,7,17,0
16.0,19.0,2845,11,25,1
109.0,23.0,3421,13,3,0
94.0,118.0,5589,15,19,1
19.0,22.0,3941,14,15,1
5.0,6.0,3050,5,17,0
16.0,17.0,1923,15,13,0
66.0,110.0,6036,6,11,0
30.0,55.0,5234,7,17,1
69.0,72.0,3952,15,10,1
76.0,35.0,5334,12,14,0
134.0,113.0,5617,11,16,0
17.0,56.0,3313,14,8,1
16.0,57.0,3563,8,13,1
2.0,4.0,3600,11,27,1
118.0,99.0,3848,17,19,1
113.0,108.0,3949,17,29,1
56.0,79.0,5937,14,27,1
125.0,115.0,5578,12,13,1
55.0,39.0,6076,9,6,0
108.0,99.0,7089,11,27,1
122.0,133.0,3727,12,18,1
7.0,52.0,4670,6,14,0
51.0,54.0,2753,14,12,1
28.0,26.0,2802,15,16,1
0.0,131.0,3702,9,29,0
75.0,115.0,7194,11,22,1
67.0,48.0,4488,5,7,1
9.0,47.0,2792,11,10,0
90.0,55.0,4980,8,11,1
19.0,24.0,3571,10,9,1
3.0,2.0,4617,13,26,0
19.0,25.0,3466,15,17,0
24.0,85.0,5710,10,27,0
35.0,63.0,4538,16,21,1
6.0,2.0,1786,10,7,0
29.0,33.0,5023,11,16,1
10.0,48.0,3995,10,22,1
8.0,32.0,6073,3,12,0
91.0,15.0,5093,15,23,1
43.0,39.0,4101,8,17,0
116.0,107.0,5975,12,15,1
85.0,105.0,4444,7,16,1
122.0,101.0,5068,8,16,1
93.0,77.0,5695,8,9,0
81.0,74.0,8207,8,18,1
6.0,53.0,4773,8,9,1
104.0,84.0,3349,13,18,1
86.0,99.0,4285,8,18,1
54.0,69.0,7123,10,27,1
42.0,8.0,3055,10,23,0
64.0,74.0,6165,13,10,0
110.0,70.0,4751,11,21,1
94.0,74.0,4178,13,15,1
56.0,6.0,5675,9,14,1
46.0,44.0,1905,17,15,1
7.0,5.0,3569,11,18,0
9.0,143.0,5791,14,15,1
121.0,12.0,4906,12,20,1
20.0,48.0,4509,8,8,0
113.0,82.0,5116,13,13,0
75.0,6.0,4652,13,13,1
10.0,13.0,2750,15,18,1
10.0,56.0,5046,12,27,1
37.0,2.0,4691,6,11,1
3.0,86.0,3965,13,10,1
13.0,14.0,5985,6,12,0
34.0,112.0,7400,6,14,1
58.0,48.0,3338,12,19,0
96.0,5.0,4789,11,18,0
89.0,146.0,4475,11,5,1
115.0,5.0,4554,10,14,1
2.0,2.0,3778,9,26,0
48.0,54.0,3957,12,24,0
98.0,7.0,3429,13,7,1
63.0,60.0,5517,8,9,1
2.0,5.0,3467,9,21,1
24.0,14.0,3820,10,10,0
50.0,44.0,4697,11,17,0
32.0,69.0,5077,11,23,0
25.0,33.0,5041,7,19,0
3.0,87.0,4530,11,7,1
44.0,44.0,4352,6,20,0
66.0,97.0,4287,13,19,0
58.0,6.0,3395,17,8,1
26.0,132.0,7436,10,35,1
48.0,75.0,3598,14,14,1
67.0,78.0,5153,14,8,0
105.0,25.0,5779,9,18,1
93.0,18.0,4932,13,24,1
108.0,33.0,3200,14,14,1
26.0,115.0,5955,10,10,1
38.0,29.0,2112,5,7,1
39.0,1.0,2153,14,10,0
2.0,0.0,3893,10,28,0
27.0,2.0,4893,7,12,1
0.0,8.0,2113,15,5,1
58.0,74.0,5110,7,17,1
80.0,21.0,3307,15,14,1
95.0,81.0,5705,8,11,0
32.0,22.0,2285,5,10,0
20.0,0.0,2228,10,14,0
17.0,12.0,3545,13,25,0
61.0,73.0,6012,7,20,1
1.0,4.0,2442,17,14,1
39.0,38.0,3713,9,17,0
94.0,11.0,2723,11,11,0
147.0,29.0,3835,17,13,1
58.0,64.0,1330,10,7,1
99.0,18.0,2553,9,11,0
9.0,49.0,3701,13,10,0
50.0,45.0,4966,8,9,1
103.0,14.0,6257,9,8,0
29.0,2.0,3398,13,25,1
26.0,23.0,3885,11,31,1
86.0,3.0,3579,14,14,1
10.0,8.0,4326,8,21,0
96.0,112.0,4292,7,12,0
4.0,8.0,4068,15,27,0
101.0,17.0,5869,10,22,0
34.0,34.0,5543,8,12,0
78.0,90.0,1761,12,9,1
15.0,14.0,5191,12,23,1
50.0,44.0,4071,9,19,1
87.0,81.0,5312,7,24,0
13.0,23.0,4845,8,16,0
12.0,9.0,3439,14,28,0
79.0,24.0,3549,10,8,0
1.0,61.0,3900,10,16,1
67.0,14.0,5906,5,13,1
68.0,51.0,6724,7,11,0
27.0,22.0,4584,12,13,0
39.0,7.0,4103,12,17,1
26.0,29.0,5638,12,36,0
56.0,47.0,3316,9,16,1
31.0,50.0,1903,1,2,0
79.0,60.0,3288,12,19,0
17.0,17.0,4126,12,20,1
62.0,68.0,3989,10,7,1
135.0,83.0,5387,13,12,1
99.0,79.0,5851,9,16,1
22.0,70.0,2942,10,14,0
41.0,76.0,1846,9,11,1
30.0,29.0,5901,12,17,1
14.0,126.0,1319,7,6,1
111.0,121.0,6016,10,18,1
19.0,18.0,6039,10,20,0
12.0,18.0,5240,9,21,0
63.0,53.0,4464,12,33,1
56.0,72.0,4531,11,14,1
29.0,133.0,3151,4,5,0
9.0,12.0,3417,10,21,1
72.0,71.0,1207,20,15,1
74.0,10.0,2856,12,21,0
92.0,63.0,5375,13,11,0
125.0,141.0,4181,19,17,1
103.0,72.0,1078,11,14,1
15.0,18.0,3915,12,18,0
90.0,10.0,3398,11,17,0
42.0,5.0,1195,13,9,0
7.0,32.0,4885,8,14,0
82.0,44.0,5451,8,6,1
2.0,8.0,5072,8,13,1
10.0,37.0,6678,7,11,1
109.0,59.0,4623,12,19,0
2.0,19.0,2747,14,19,1
12.0,15.0,4101,6,31,0
0.0,1.0,2020,14,38,0
7.0,39.0,3412,15,9,1
16.0,132.0,4690,13,15,1
2.0,7.0,3919,10,27,0
39.0,6.0,4934,6,11,0
5.0,44.0,4379,15,16,1
52.0,13.0,4689,7,14,0
9.0,29.0,3962,10,11,1
60.0,75.0,3744,7,9,0
2.0,99.0,2945,13,12,1
74.0,87.0,3565,15,20,1
37.0,43.0,3340,6,8,1
36.0,38.0,3871,17,18,1
83.0,66.0,5770,8,24,0
37.0,27.0,3197,12,16,0
22.0,18.0,4105,12,10,0
18.0,14.0,2633,8,14,1
26.0,40.0,1150,13,18,1
30.0,68.0,2999,14,15,1
0.0,97.0,4483,14,15,1
74.0,80.0,5121,8,18,1
2.0,3.0,3348,11,16,0
79.0,101.0,4459,11,14,1
89.0,103.0,4612,8,11,0
43.0,10.0,8802,13,15,1
34.0,90.0,5951,11,16,1
17.0,19.0,4591,8,15,0
56.0,54.0,3749,14,15,1
80.0,71.0,4959,7,11,1
42.0,47.0,4139,6,14,1
7.0,117.0,3386,17,18,1
9.0,71.0,3758,12,15,1
46.0,39.0,6169,12,17,1
4.0,3.0,5228,7,13,0
67.0,83.0,3172,14,4,1
6.0,3.0,4442,7,28,1
119.0,65.0,3393,13,16,0
77.0,48.0,3187,10,7,0
107.0,80.0,2975,16,27,1
41.0,27.0,5833,12,13,1
60.0,49.0,2222,13,15,1
106.0,17.0,5840,9,14,1
75.0,58.0,5820,13,10,1
83.0,57.0,4712,11,20,1
141.0,107.0,6477,10,16,0
108.0,98.0,2154,17,20,1
5.0,6.0,2043,7,14,0
26.0,16.0,4889,9,11,0
24.0,32.0,4115,11,10,1
89.0,15.0,4800,10,10,1
126.0,23.0,3902,16,20,1
20.0,152.0,6684,9,25,1
102.0,60.0,3642,13,11,0
115.0,37.0,5565,13,24,0
57.0,55.0,1600,6,12,1
18.0,14.0,5735,9,23,1
72.0,77.0,3906,13,19,1
84.0,92.0,5670,7,17,1
26.0,8.0,5567,8,17,0
13.0,60.0,5759,9,14,1
139.0,132.0,1912,11,10,1
96.0,74.0,5278,13,20,1
123.0,24.0,2390,13,12,1
61.0,4.0,4268,13,12,0
12.0,112.0,4656,12,20,1
80.0,97.0,3894,13,16,1
103.0,76.0,3389,7,12,0
1.0,2.0,5813,9,10,1
18.0,11.0,3948,10,13,0
39.0,36.0,3658,13,11,1
5.0,27.0,3070,11,23,0
8.0,8.0,2964,13,10,0
37.0,34.0,4372,13,18,1
2.0,24.0,3725,11,18,1
9.0,11.0,4248,11,27,1
150.0,37.0,6378,11,17,0
32.0,12.0,3792,16,15,1
71.0,11.0,2764,11,20,1
16.0,19.0,3725,11,19,0
36.0,42.0,2013,11,25,1
56.0,56.0,5577,13,20,1
27.0,133.0,1637,19,10,0
127.0,142.0,2713,13,18,1
115.0,130.0,5484,11,18,1
82.0,73.0,499,8,5,1
33.0,128.0,3812,12,19,1
73.0,0.0,3063,9,18,0
45.0,39.0,4950,7,21,1
2.0,7.0,2776,15,16,0
16.0,56.0,4552,8,7,1
14.0,18.0,3523,10,22,1
121.0,39.0,5459,17,38,0
22.0,20.0,3360,12,23,0
2.0,1.0,5500,9,16,1
49.0,59.0,2851,4,6,1
6.0,6.0,4664,11,12,1
26.0,18.0,1583,10,16,1
62.0,64.0,4344,11,23,1
60.0,78.0,3309,13,14,1
96.0,123.0,4031,13,20,1
11.0,90.0,4929,9,21,0
120.0,19.0,3244,13,15,0
20.0,122.0,4803,9,30,1
73.0,56.0,3788,11,20,0
27.0,88.0,8684,8,24,0
28.0,35.0,6257,10,10,0
22.0,138.0,6599,13,17,1
96.0,15.0,4990,15,13,1
19.0,14.0,7421,9,14,1
32.0,29.0,4325,11,13,1
5.0,2.0,2474,13,19,1
30.0,41.0,3232,13,11,0
